temperature,humidity,rainfall,wind_speed,pressure,disaster
45,29,3,12,1015,Heatwave
42,22,2,14,1013,Heatwave
31,91,134,9,1004,Flood
41,27,10,6,1012,Heatwave
32,80,152,13,997,Flood
31,94,109,15,1001,Flood
27,94,95,32,984,Cyclone
33,85,159,10,1001,Flood
39,33,1,14,1014,Heatwave
37,47,22,15,1016,Normal
27,95,155,14,1001,Flood
30,82,78,43,980,Cyclone
31,80,187,13,1003,Flood
27,87,173,4,1006,Flood
31,74,36,14,1015,Normal
30,79,247,6,996,Flood
41,42,4,8,1008,Heatwave
30,80,68,52,990,Cyclone
44,42,8,9,1012,Heatwave
25,79,82,51,989,Cyclone
28,81,177,4,1010,Flood
29,95,136,13,996,Flood
28,78,8,53,980,Cyclone
41,31,1,12,1011,Heatwave
32,81,86,11,1002,Flood
26,96,45,51,986,Cyclone
34,46,5,15,1009,Normal
40,35,0,12,1011,Heatwave
40,33,5,10,1009,Heatwave
35,49,18,9,1013,Normal
26,89,27,52,989,Cyclone
37,49,15,11,1012,Normal
43,43,3,9,1010,Heatwave
28,88,141,11,1007,Flood
44,43,2,9,1013,Heatwave
33,58,29,12,1015,Normal
34,55,29,6,1005,Normal
32,84,53,46,991,Cyclone
32,63,29,4,1012,Normal
32,61,14,5,1011,Normal
27,89,49,44,976,Cyclone
30,81,225,10,996,Flood
28,88,185,10,1003,Flood
27,87,191,8,1009,Flood
27,86,125,11,996,Flood
30,94,60,38,995,Cyclone
35,73,21,7,1006,Normal
31,77,8,4,1013,Normal
28,83,188,5,1007,Flood
28,57,33,13,1020,Normal
30,95,105,4,995,Flood
27,76,36,52,989,Cyclone
25,88,51,51,982,Cyclone
27,80,118,4,1006,Flood
30,83,20,55,986,Cyclone
32,93,134,7,1010,Flood
41,41,10,7,1012,Heatwave
34,77,0,16,1018,Normal
28,79,141,5,997,Flood
36,71,38,9,1017,Normal
37,69,25,8,1007,Normal
39,35,6,5,1005,Heatwave
42,22,1,8,1012,Heatwave
28,84,197,14,1004,Flood
35,77,27,16,1010,Normal
32,93,97,7,999,Flood
30,79,22,31,984,Cyclone
43,37,8,8,1013,Heatwave
29,90,30,33,979,Cyclone
28,85,250,6,1006,Flood
26,85,96,32,991,Cyclone
34,66,22,16,1013,Normal
33,83,188,13,1003,Flood
28,86,198,10,997,Flood
27,96,62,41,986,Cyclone
41,45,3,12,1008,Heatwave
44,34,4,13,1009,Heatwave
27,79,13,52,989,Cyclone
37,60,10,11,1005,Normal
39,29,10,13,1012,Heatwave
31,78,223,9,1008,Flood
32,93,181,17,999,Flood
39,34,5,12,1007,Heatwave
43,38,1,10,1011,Heatwave
39,44,4,12,1006,Heatwave
32,95,156,6,999,Flood
44,33,8,4,1014,Heatwave
32,86,16,43,978,Cyclone
34,48,13,15,1017,Normal
31,78,157,12,1001,Flood
39,35,9,9,1007,Heatwave
25,96,48,54,994,Cyclone
35,46,34,3,1016,Normal
45,41,10,9,1015,Heatwave
31,74,35,6,1017,Normal
26,84,64,44,976,Cyclone
28,84,50,54,976,Cyclone
29,84,62,49,988,Cyclone
43,20,0,15,1008,Heatwave
33,83,125,16,995,Flood
39,25,4,3,1005,Heatwave
28,67,19,14,1018,Normal
28,79,160,15,1003,Flood
31,93,144,4,997,Flood
35,73,19,15,1014,Normal
30,81,171,14,1003,Flood
29,82,143,11,1008,Flood
35,76,28,2,1007,Normal
27,92,98,49,991,Cyclone
31,76,55,46,986,Cyclone
33,60,5,10,1019,Normal
30,86,54,48,976,Cyclone
40,29,3,15,1005,Heatwave
25,79,13,37,995,Cyclone
45,43,0,9,1003,Heatwave
31,84,209,11,999,Flood
33,85,137,3,1001,Flood
45,39,0,13,1004,Heatwave
26,91,70,36,986,Cyclone
39,22,8,6,1009,Heatwave
35,75,18,3,1012,Normal
37,46,36,14,1020,Normal
27,84,225,13,1001,Flood
29,89,70,34,988,Cyclone
32,81,217,11,1005,Flood
32,73,31,5,1005,Normal
25,85,17,52,995,Cyclone
30,75,51,39,980,Cyclone
32,56,37,15,1020,Normal
39,41,0,5,1003,Heatwave
30,95,45,34,989,Cyclone
30,64,0,6,1013,Normal
42,39,8,7,1010,Heatwave
36,71,5,9,1008,Normal
31,49,2,2,1012,Normal
29,72,6,5,1019,Normal
42,23,1,6,1011,Heatwave
44,35,1,4,1004,Heatwave
45,29,5,15,1004,Heatwave
27,83,30,35,994,Cyclone
31,95,138,10,995,Flood
37,68,30,18,1016,Normal
40,32,9,3,1003,Heatwave
31,61,5,7,1012,Normal
28,63,22,13,1018,Normal
43,22,0,5,1005,Heatwave
27,92,239,6,997,Flood
36,59,31,9,1013,Normal
29,59,36,2,1013,Normal
25,87,65,31,995,Cyclone
28,84,166,6,997,Flood
28,85,67,36,982,Cyclone
45,33,8,15,1012,Heatwave
35,49,36,3,1009,Normal
32,80,91,10,1004,Flood
33,69,20,17,1006,Normal
36,76,40,9,1013,Normal
29,94,182,13,995,Flood
26,94,81,46,987,Cyclone
27,95,27,55,986,Cyclone
31,87,100,44,987,Cyclone
44,21,9,14,1010,Heatwave
41,34,10,9,1010,Heatwave
29,75,22,15,1015,Normal
32,79,95,45,989,Cyclone
